nm,n,k ,,,nm
0.617,4.2207214,0.070204022,,,617
0.618,4.21762329,0.069640615,,,618
0.619,4.21454993,0.069084443,,,619
0.62,4.21150116,0.068535462,,,620
0.621,4.20847683,0.067993627,,,621
0.622,4.20547677,0.067458891,,,622
0.623,4.20250031,0.066930959,,,623
0.624,4.19954702,0.066409652,,,624
0.625,4.19661648,0.065894814,,,625
0.626,4.19370793,0.065386155,,,626
0.627,4.19082121,0.064883631,,,627
0.628,4.18795619,0.064387202,,,628
0.629,4.18511273,0.063896832,,,629
0.63,4.18229062,0.063412396,,,630
0.631,4.1794896,0.062933715,,,631
0.632,4.17670956,0.062460741,,,632
0.633,4.17395042,0.061993359,,,633
0.634,4.17121206,0.061531519,,,634
0.635,4.16849434,0.061075185,,,635
0.636,4.16579714,0.060624324,,,636
0.637,4.1631203,0.060178884,,,637
0.638,4.1604634,0.059738655,,,638
0.639,4.15782626,0.05930356,,,639
0.64,4.15520852,0.05887347,,,640
0.641,4.15260972,0.058448204,,,641
0.642,4.15002973,0.058027729,,,642
0.643,4.14746843,0.057612016,,,643
0.644,4.14492571,0.057201037,,,644
0.645,4.14240137,0.05679471,,,645
0.646,4.13989509,0.056392873,,,646
0.647,4.13740674,0.055995489,,,647
0.648,4.13493619,0.055602463,,,648
0.649,4.13248332,0.05521373,,,649
0.65,4.13004802,0.054829264,,,650
0.651,4.12763018,0.05444904,,,651
0.652,4.12522969,0.054073031,,,652
0.653,4.12284629,0.05370114,,,653
0.654,4.12047967,0.053333231,,,654
0.655,4.1181297,0.052969271,,,655
0.656,4.11579591,0.052609113,,,656
0.657,4.11347807,0.052252686,,,657
0.658,4.11117608,0.051899968,,,658
0.659,4.10888983,0.051550936,,,659
0.66,4.10661924,0.051205568,,,660
0.661,4.10436415,0.050863799,,,661
0.662,4.10212438,0.050525528,,,662
0.663,4.09989981,0.050190729,,,663
0.664,4.0976903,0.04985932,,,664
0.665,4.09549573,0.049531251,,,665
0.666,4.09331601,0.0492065,,,666
0.667,4.09115104,0.048885049,,,667
0.668,4.08900073,0.048566877,,,668
0.669,4.08686493,0.048251939,,,669
0.67,4.08474323,0.047940096,,,670
0.671,4.08263551,0.047631315,,,671
0.672,4.08054158,0.047325535,,,672
0.673,4.07846123,0.047022678,,,673
0.674,4.07639437,0.046722727,,,674
0.675,4.07434092,0.046425663,,,675
0.676,4.0723008,0.046131471,,,676
0.677,4.07027393,0.045840133,,,677
0.678,4.06826023,0.045551594,,,678
0.679,4.06625962,0.045265813,,,679
0.68,4.06427202,0.044982765,,,680
0.681,4.0622972,0.044702375,,,681
0.682,4.06033507,0.044424612,,,682
0.683,4.05838555,0.044149461,,,683
0.684,4.05644856,0.043876908,,,684
0.685,4.05452402,0.043606936,,,685
0.686,4.05261185,0.043339522,,,686
0.687,4.05071177,0.043074573,,,687
0.688,4.04882367,0.042812053,,,688
0.689,4.04694741,0.042551926,,,689
0.69,4.04508277,0.042294124,,,690
0.691,4.04322969,0.042038629,,,691
0.692,4.04138809,0.04178543,,,692
0.693,4.0395579,0.041534511,,,693
0.694,4.03773905,0.04128586,,,694
0.695,4.03593147,0.041039457,,,695
0.696,4.03413502,0.040795239,,,696
0.697,4.0323496,0.040553182,,,697
0.698,4.03057513,0.040313257,,,698
0.699,4.02881149,0.040075419,,,699
0.7,4.02705861,0.039839656,,,700
0.701,4.02531643,0.039605955,,,701
0.702,4.02358489,0.039374305,,,702
0.703,4.02186391,0.039144693,,,703
0.704,4.02015345,0.038917105,,,704
0.705,4.01845325,0.038691479,,,705
0.706,4.01676321,0.038467783,,,706
0.707,4.01508319,0.038245989,,,707
0.708,4.01341294,0.038026033,,,708
0.709,4.01175241,0.037807904,,,709
0.71,4.01010153,0.037591589,,,710
0.711,4.00846025,0.037377079,,,711
0.712,4.00682851,0.037164363,,,712
0.713,4.00520626,0.036953431,,,713
0.714,4.00359343,0.036744256,,,714
0.715,4.00198994,0.036536798,,,715
0.716,4.00039574,0.036331045,,,716
0.717,3.99881078,0.036126972,,,717
0.718,3.99723504,0.035924565,,,718
0.719,3.99566844,0.035723814,,,719
0.72,3.99411094,0.035524711,,,720
0.721,3.99256248,0.035327245,,,721
0.722,3.99102302,0.035131407,,,722
0.723,3.9894925,0.034937188,,,723
0.724,3.9879707,0.03474454,,,724
0.725,3.98645747,0.034553431,,,725
0.726,3.98495272,0.034363838,,,726
0.727,3.98345629,0.03417572,,,727
0.728,3.98196813,0.033989068,,,728
0.729,3.98048819,0.033803873,,,729
0.73,3.97901643,0.033620127,,,730
0.731,3.9775528,0.033437822,,,731
0.732,3.97609726,0.033256949,,,732
0.733,3.97464976,0.033077501,,,733
0.734,3.97321035,0.032899462,,,734
0.735,3.97177902,0.032722819,,,735
0.736,3.97035572,0.032547555,,,736
0.737,3.96894036,0.032373645,,,737
0.738,3.96753289,0.032201081,,,738
0.739,3.96613328,0.032029856,,,739
0.74,3.96474147,0.031859962,,,740
0.741,3.96335743,0.031691392,,,741
0.742,3.96198111,0.031524138,,,742
0.743,3.96061247,0.031358192,,,743
0.744,3.95925134,0.031193526,,,744
0.745,3.95789748,0.031030095,,,745
0.746,3.95655082,0.030867881,,,746
0.747,3.95521119,0.030706855,,,747
0.748,3.95387858,0.030547011,,,748
0.749,3.95255292,0.03038834,,,749
0.75,3.9512342,0.030230838,,,750
0.751,3.94992237,0.030074497,,,751
0.752,3.94861739,0.02991931,,,752
0.753,3.94731923,0.029765272,,,753
0.754,3.94602784,0.029612376,,,754
0.755,3.94474326,0.029460607,,,755
0.756,3.94346546,0.029309956,,,756
0.757,3.9421944,0.0291604,,,757
0.758,3.94093003,0.029011933,,,758
0.759,3.93967233,0.028864546,,,759
0.76,3.93842126,0.028718234,,,760
0.761,3.93717677,0.028572992,,,761
0.762,3.93593884,0.028428814,,,762
0.763,3.93470743,0.028285692,,,763
0.764,3.9334825,0.028143623,,,764
0.765,3.93226401,0.028002596,,,765
0.766,3.93105177,0.02786258,,,766
0.767,3.92984569,0.027723553,,,767
0.768,3.92864559,0.027585489,,,768
0.769,3.92745145,0.027448382,,,769
0.77,3.92626323,0.027312226,,,770
0.771,3.9250809,0.027177017,,,771
0.772,3.92390443,0.027042749,,,772
0.773,3.92273379,0.026909416,,,773
0.774,3.92156895,0.026777015,,,774
0.775,3.92040987,0.026645539,,,775
0.776,3.91925653,0.026514984,,,776
0.777,3.9181089,0.026385337,,,777
0.778,3.916967,0.026256587,,,778
0.779,3.91583087,0.02612873,,,779
0.78,3.91470048,0.026001761,,,780
0.781,3.9135758,0.025875676,,,781
0.782,3.9124568,0.02575047,,,782
0.783,3.91134345,0.025626137,,,783
0.784,3.91023572,0.025502674,,,784
0.785,3.90913358,0.025380074,,,785
0.786,3.908037,0.025258335,,,786
0.787,3.90694595,0.025137451,,,787
0.788,3.90586039,0.025017413,,,788
0.789,3.90478019,0.024898197,,,789
0.79,3.90370517,0.024779773,,,790
0.791,3.90263527,0.024662133,,,791
0.792,3.90157047,0.024545274,,,792
0.793,3.90051073,0.02442919,,,793
0.794,3.89945604,0.024313877,,,794
0.795,3.89840637,0.024199333,,,795
0.796,3.89736169,0.024085552,,,796
0.797,3.89632198,0.02397253,,,797
0.798,3.8952872,0.023860263,,,798
0.799,3.89425735,0.023748748,,,799
0.8,3.89323236,0.023637976,,,800
0.801,3.8922122,0.023527929,,,801
0.802,3.89119688,0.023418602,,,802
0.803,3.89018636,0.02330999,,,803
0.804,3.88918064,0.023202091,,,804
0.805,3.88817967,0.0230949,,,805
0.806,3.88718345,0.022988414,,,806
0.807,3.88619193,0.022882628,,,807
0.808,3.88520511,0.02277754,,,808
0.809,3.88422295,0.022673145,,,809
0.81,3.88324543,0.02256944,,,810
0.811,3.88227253,0.022466421,,,811
0.812,3.88130422,0.022364083,,,812
0.813,3.88034042,0.022262406,,,813
0.814,3.87938104,0.022161375,,,814
0.815,3.87842605,0.022060987,,,815
0.816,3.87747545,0.021961238,,,816
0.817,3.87652921,0.021862125,,,817
0.818,3.8755873,0.021763644,,,818
0.819,3.8746497,0.021665793,,,819
0.82,3.8737164,0.021568569,,,820
0.821,3.87278736,0.021471967,,,821
0.822,3.87186258,0.021375984,,,822
0.823,3.87094202,0.021280618,,,823
0.824,3.87002567,0.021185865,,,824
0.825,3.86911349,0.021091717,,,825
0.826,3.86820542,0.020998155,,,826
0.827,3.86730144,0.020905176,,,827
0.828,3.86640152,0.020812778,,,828
0.829,3.86550565,0.020720956,,,829
0.83,3.86461381,0.020629708,,,830
0.831,3.86372597,0.020539032,,,831
0.832,3.86284212,0.020448923,,,832
0.833,3.86196223,0.02035938,,,833
0.834,3.8610863,0.020270399,,,834
0.835,3.86021429,0.020181978,,,835
0.836,3.85934619,0.020094113,,,836
0.837,3.85848197,0.020006801,,,837
0.838,3.85762159,0.019920031,,,838
0.839,3.85676501,0.019833792,,,839
0.84,3.8559122,0.01974808,,,840
0.841,3.85506315,0.019662892,,,841
0.842,3.85421784,0.019578226,,,842
0.843,3.85337625,0.019494079,,,843
0.844,3.85253836,0.019410448,,,844
0.845,3.85170416,0.01932733,,,845
0.846,3.85087363,0.019244724,,,846
0.847,3.85004674,0.019162627,,,847
0.848,3.84922349,0.019081035,,,848
0.849,3.84840385,0.018999946,,,849
0.85,3.8475878,0.018919358,,,850
0.851,3.8467753,0.018839262,,,851
0.852,3.8459663,0.018759645,,,852
0.853,3.84516073,0.0186805,,,853
0.854,3.84435859,0.018601824,,,854
0.855,3.84355986,0.018523615,,,855
0.856,3.84276453,0.01844587,,,856
